1830F Moment of Bloom,https://codeforces.com/problemset/problem/1583/E,"constructive algorithms,dfs and similar,graph matchings,graphs,greedy,trees",Codeforces
Making A Large Island,https://leetcode.com/problems/making-a-large-island,"Array, Breadth-First Search, Depth-First Search, Matrix, Union Find",LeetCode
Custom Sort String,https://leetcode.com/problems/custom-sort-string,"Hash Table, Sorting, String",LeetCode
1833F Masha-forgetful,https://codeforces.com/problemset/problem/1624/E,"brute force,constructive algorithms,dp,hashing,implementation,strings",Codeforces
1833G Split,https://codeforces.com/problemset/problem/1416/E,"binary search,data structures,dp,greedy",Codeforces
1839E Chocolate,https://codeforces.com/problemset/problem/490/D,"brute force,dfs and similar,math,meet-in-the-middle,number theory",Codeforces
Permutation in String,https://leetcode.com/problems/permutation-in-string,"Hash Table, Sliding Window, String, Two Pointers",LeetCode
1839D Place Your Ad Here,https://codeforces.com/problemset/problem/542/A,"data structures,sortings",Codeforces
Maximum Subarray Sum After One Operation,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,"Array, Dynamic Programming",LeetCode
1837F On a plane,https://codeforces.com/problemset/problem/409/G,"*special problem,geometry",Codeforces
Form Smallest Number From Two Digit Arrays,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,"Array, Enumeration, Hash Table",LeetCode
1833D Minimum spanning tree for each edge,https://codeforces.com/problemset/problem/609/E,"data structures,dfs and similar,dsu,graphs,trees",Codeforces
1826B Same Count One,https://codeforces.com/problemset/problem/1774/D,"brute force,constructive algorithms,greedy,implementation,two pointers",Codeforces
1832C Employment,https://codeforces.com/problemset/problem/1214/F,"greedy,sortings",Codeforces
1834D Really Big Numbers,https://codeforces.com/problemset/problem/817/C,"binary search,brute force,dp,math",Codeforces
1843C Office Keys,https://codeforces.com/problemset/problem/830/A,"binary search,brute force,dp,greedy,sortings",Codeforces
1838F Non-Secret Cypher,https://codeforces.com/problemset/problem/190/D,two pointers,Codeforces
Most Stones Removed with Same Row or Column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Depth-First Search, Graph, Union Find",LeetCode
1843E Football,https://codeforces.com/problemset/problem/417/C,"constructive algorithms,graphs,implementation",Codeforces
1826E Power Consumption Calculation,https://codeforces.com/problemset/problem/10/A,implementation,Codeforces
1831A Letter,https://codeforces.com/problemset/problem/180/C,dp,Codeforces
1833B Zbazi in Zeydabad,https://codeforces.com/problemset/problem/628/E,"data structures,implementation",Codeforces
Minimize Deviation in Array,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Ordered Set",LeetCode
1841A World of Tank,https://codeforces.com/problemset/problem/936/D,"dp,greedy",Codeforces
1826E Lose it!,https://codeforces.com/problemset/problem/1176/C,"dp,greedy,implementation",Codeforces
Minimum Absolute Difference Queries,https://leetcode.com/problems/minimum-absolute-difference-queries,"Array, Hash Table",LeetCode
1834C Nikita and game,https://codeforces.com/problemset/problem/842/E,"binary search,dfs and similar,divide and conquer,graphs,trees",Codeforces
Walls and Gates,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix",LeetCode
1835F Colour the Flag,https://codeforces.com/problemset/problem/1534/A,"brute force,implementation",Codeforces
Sales Analysis I,https://leetcode.com/problems/sales-analysis-i,Database,LeetCode
